ano,codigo_bairro_2010,bairro,faccao,area_bairro_m2,area_faccao_bairro_m2,percentual_area_bairro
2010,330455705001,Centro,ADA,5999470.914,0.0,0.0
2010,330455705001,Centro,CV,5999470.914,0.0,0.0
2010,330455705001,Centro,Milicia,5999470.914,0.0,0.0
2010,330455705001,Centro,TCP,5999470.914,0.0,0.0
2010,330455705002,Gamboa,ADA,1136868.144,0.0,0.0
2010,330455705002,Gamboa,CV,1136868.144,108806.99,9.570766
2010,330455705002,Gamboa,Milicia,1136868.144,0.0,0.0
2010,330455705002,Gamboa,TCP,1136868.144,0.0,0.0
2010,330455705003,Santo Cristo,ADA,1672344.478,0.0,0.0
2010,330455705003,Santo Cristo,CV,1672344.478,39947.24,2.388697
2010,330455705003,Santo Cristo,Milicia,1672344.478,0.0,0.0
2010,330455705003,Santo Cristo,TCP,1672344.478,0.0,0.0
2010,330455705004,Caju,ADA,5067155.95,198991.955,3.927094
2010,330455705004,Caju,CV,5067155.95,56895.643,1.122832
2010,330455705004,Caju,Milicia,5067155.95,0.0,0.0
2010,330455705004,Caju,TCP,5067155.95,133.316,0.002631
2010,330455705005,Catumbi,ADA,632389.034,125202.931,19.798403
2010,330455705005,Catumbi,CV,632389.034,22591.987,3.572482
2010,330455705005,Catumbi,Milicia,632389.034,0.0,0.0
2010,330455705005,Catumbi,TCP,632389.034,0.0,0.0
2010,330455705006,Rio Comprido,ADA,3330278.597,100900.255,3.029784
2010,330455705006,Rio Comprido,CV,3330278.597,369329.522,11.090049
2010,330455705006,Rio Comprido,Milicia,3330278.597,0.0,0.0
2010,330455705006,Rio Comprido,TCP,3330278.597,0.0,0.0
2010,330455705007,Cidade Nova,ADA,936691.34,0.0,0.0
2010,330455705007,Cidade Nova,CV,936691.34,0.187,2e-05
2010,330455705007,Cidade Nova,Milicia,936691.34,0.0,0.0
2010,330455705007,Cidade Nova,TCP,936691.34,0.0,0.0
2010,330455705008,Estácio,ADA,914078.001,92917.141,10.165122
2010,330455705008,Estácio,CV,914078.001,65448.463,7.160052
2010,330455705008,Estácio,Milicia,914078.001,0.0,0.0
2010,330455705008,Estácio,TCP,914078.001,0.0,0.0
2010,330455705009,Flamengo,ADA,1652155.006,23906.883,1.447012
2010,330455705009,Flamengo,CV,1652155.006,0.0,0.0
2010,330455705009,Flamengo,Milicia,1652155.006,0.0,0.0
2010,330455705009,Flamengo,TCP,1652155.006,0.0,0.0
2010,330455705010,Glória,ADA,1125643.202,0.0,0.0
2010,330455705010,Glória,CV,1125643.202,13.885,0.001234
2010,330455705010,Glória,Milicia,1125643.202,0.0,0.0
2010,330455705010,Glória,TCP,1125643.202,0.0,0.0
2010,330455705011,Laranjeiras,ADA,2488268.891,370.463,0.014888
2010,330455705011,Laranjeiras,CV,2488268.891,72703.449,2.921849
2010,330455705011,Laranjeiras,Milicia,2488268.891,0.0,0.0
2010,330455705011,Laranjeiras,TCP,2488268.891,0.0,0.0
2010,330455705012,Catete,ADA,690904.333,0.0,0.0
2010,330455705012,Catete,CV,690904.333,44946.383,6.505442
2010,330455705012,Catete,Milicia,690904.333,0.0,0.0
2010,330455705012,Catete,TCP,690904.333,0.0,0.0
2010,330455705013,Cosme Velho,ADA,933880.948,0.0,0.0
2010,330455705013,Cosme Velho,CV,933880.948,96808.358,10.366242
2010,330455705013,Cosme Velho,Milicia,933880.948,0.0,0.0
2010,330455705013,Cosme Velho,TCP,933880.948,0.0,0.0
2010,330455705014,Botafogo,ADA,4793518.99,181.399,0.003784
2010,330455705014,Botafogo,CV,4793518.99,108620.422,2.265985
2010,330455705014,Botafogo,Milicia,4793518.99,0.0,0.0
2010,330455705014,Botafogo,TCP,4793518.99,0.0,0.0
2010,330455705015,Urca,ADA,2443671.98,0.0,0.0
2010,330455705015,Urca,CV,2443671.98,0.0,0.0
